City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,invercargill,-46.4,168.35,40.59,95,24,5.12,NZ,Fri Jul 19 15:23:09 2024
109,coquimbo,-29.9533,-71.3436,56.93,72,100,5.75,CL,Fri Jul 19 15:19:38 2024
110,savalou,7.9281,1.9756,77.86,84,100,5.39,BJ,Fri Jul 19 15:23:09 2024
111,tolanaro,-25.0319,46.9987,71.67,83,0,16.11,MG,Fri Jul 19 15:23:09 2024
112,kapa'a,22.0752,-159.319,82.38,68,0,12.66,US,Fri Jul 19 15:21:34 2024
113,jiayuguan,39.8167,98.3,72.39,46,100,36.8,CN,Fri Jul 19 15:23:10 2024
114,berezovyy,51.6667,135.7,61.7,99,100,1.1,RU,Fri Jul 19 15:23:10 2024
115,akjoujt,19.6969,-14.4164,107.53,14,0,7.61,MR,Fri Jul 19 15:23:10 2024
116,hotan,37.0997,79.9269,84.47,25,62,4.43,CN,Fri Jul 19 15:23:10 2024
117,happy valley-goose bay,53.3168,-60.3315,61.11,88,100,8.05,CA,Fri Jul 19 15:23:11 2024
118,ust-nera,64.5667,143.2,64.49,73,100,3.76,RU,Fri Jul 19 15:23:11 2024
119,luderitz,-26.6481,15.1594,57.11,75,2,18.16,NA,Fri Jul 19 15:23:11 2024
120,ixtapa,20.7,-105.2,91.22,70,20,12.66,MX,Fri Jul 19 15:23:12 2024
121,port mathurin,-19.6833,63.4167,73.33,75,1,10.09,MU,Fri Jul 19 15:23:12 2024
122,port moresby,-9.4431,147.1797,68.31,83,44,8.7,PG,Fri Jul 19 15:23:12 2024
123,hirakud,21.5167,83.8667,81.37,81,29,7.18,IN,Fri Jul 19 15:23:12 2024
124,isafjordur,66.0755,-23.124,55.44,76,20,10.36,IS,Fri Jul 19 15:23:12 2024
125,gadzhiyevo,69.2551,33.3362,59.07,78,47,14.27,RU,Fri Jul 19 15:23:12 2024
126,ishigaki,24.3448,124.1572,82.53,94,20,3.44,JP,Fri Jul 19 15:23:13 2024
127,port elizabeth,-33.918,25.5701,52.09,71,0,6.91,ZA,Fri Jul 19 15:19:58 2024
128,lompoc,34.6391,-120.4579,87.94,64,0,14.97,US,Fri Jul 19 15:23:13 2024
129,san patricio,28.017,-97.5169,96.91,43,72,4.83,US,Fri Jul 19 15:23:13 2024
130,chilliwack,49.1747,-121.9443,79.5,56,0,5.75,CA,Fri Jul 19 15:23:13 2024
131,punta arenas,-53.15,-70.9167,46.51,66,75,26.46,CL,Fri Jul 19 15:18:33 2024
132,kohtla-jarve,59.3986,27.2731,61.47,93,88,18.16,EE,Fri Jul 19 15:23:14 2024
133,junin de los andes,-39.9504,-71.0694,40.51,43,6,12.84,AR,Fri Jul 19 15:23:14 2024
134,tazacorte,28.629,-17.9293,76.17,53,0,13.8,ES,Fri Jul 19 15:23:14 2024
135,tabas,33.5959,56.9244,97.02,16,0,4.61,IR,Fri Jul 19 15:23:14 2024
136,tekkalakote,15.5333,76.8833,75.09,83,100,16.69,IN,Fri Jul 19 15:23:15 2024
137,yuzhno-kurilsk,44.0306,145.8556,60.57,100,100,8.79,RU,Fri Jul 19 15:23:15 2024
138,taroa,8.7058,171.2275,82.08,80,91,20.27,MH,Fri Jul 19 15:21:09 2024
139,kavaratti,10.5669,72.642,80.78,85,100,16.93,IN,Fri Jul 19 15:23:15 2024
140,pacific grove,36.6177,-121.9166,78.24,78,0,8.99,US,Fri Jul 19 15:23:16 2024
141,aasiaat,68.7098,-52.8699,41.61,85,62,3.38,GL,Fri Jul 19 15:23:16 2024
142,blenheim,-41.516,173.9528,49.51,95,100,3.04,NZ,Fri Jul 19 15:23:16 2024
143,trairi,-3.2778,-39.2689,81.14,66,6,12.66,BR,Fri Jul 19 15:20:24 2024
144,kamiiso,41.8167,140.65,73.78,94,100,5.75,JP,Fri Jul 19 15:23:16 2024
145,hillsborough,37.5741,-122.3794,89.89,58,0,5.75,US,Fri Jul 19 15:23:17 2024
146,hohhot,40.8106,111.6522,62.89,77,0,4.47,CN,Fri Jul 19 15:23:17 2024
147,berdigestyakh,62.0989,126.6992,52.5,60,100,4.41,RU,Fri Jul 19 15:23:17 2024
148,carutapera,-1.195,-46.02,84.42,67,14,10.71,BR,Fri Jul 19 15:23:17 2024
149,howrah,22.5892,88.3103,84.2,89,40,6.91,IN,Fri Jul 19 15:23:17 2024
150,martinsville,36.6915,-79.8725,84.88,58,40,8.05,US,Fri Jul 19 15:23:18 2024
151,ciudad lazaro cardenas,17.9583,-102.2,87.64,60,100,9.89,MX,Fri Jul 19 15:23:12 2024
152,rongelap,11.1635,166.8941,82.53,78,95,19.8,MH,Fri Jul 19 15:21:09 2024
153,kabalo,-6.05,26.9167,81.43,21,8,3.33,CD,Fri Jul 19 15:23:18 2024
154,touros,-5.1989,-35.4608,78.78,75,89,17.18,BR,Fri Jul 19 15:23:18 2024
155,terrace,54.5163,-128.6035,69.71,68,75,12.66,CA,Fri Jul 19 15:23:19 2024
156,san jose,37.3394,-121.895,93.51,37,0,9.22,US,Fri Jul 19 15:20:00 2024
157,janja,44.6653,19.2478,78.51,43,10,3.65,BA,Fri Jul 19 15:23:19 2024
158,imam qasim,32.298,44.6828,105.85,15,0,12.75,IQ,Fri Jul 19 15:23:19 2024
159,paracin,43.8608,21.4078,74.57,75,84,6.49,RS,Fri Jul 19 15:23:19 2024
160,ambon,-3.6954,128.1814,78.87,95,40,5.75,ID,Fri Jul 19 15:23:19 2024
161,yung shue wan,22.2333,114.1167,86.68,84,100,13.78,HK,Fri Jul 19 15:23:20 2024
162,utrik,11.2278,169.8474,81.95,77,100,19.39,MH,Fri Jul 19 15:23:20 2024
163,justo daract,-33.8594,-65.1828,44.78,60,100,13.67,AR,Fri Jul 19 15:23:20 2024
164,staraya russa,57.9944,31.3608,60.78,97,14,5.61,RU,Fri Jul 19 15:23:20 2024
165,pokhara,28.2333,83.9833,72.41,90,100,3.87,NP,Fri Jul 19 15:23:21 2024
166,afaahiti,-17.75,-149.2833,75.07,83,62,21.9,PF,Fri Jul 19 15:23:21 2024
167,georgetown,5.4112,100.3354,84.13,94,20,1.14,MY,Fri Jul 19 15:22:58 2024
168,mossel bay,-34.1831,22.146,51.73,63,82,11.05,ZA,Fri Jul 19 15:23:21 2024
169,saryozek,44.3583,77.9753,66.22,67,100,5.64,KZ,Fri Jul 19 15:23:21 2024
170,gisborne,-38.6533,178.0042,53.01,94,100,4.38,NZ,Fri Jul 19 15:23:22 2024
171,susaki,33.3667,133.2833,82.47,95,5,1.74,JP,Fri Jul 19 15:23:22 2024
172,altamira,-3.2033,-52.2064,91.49,49,40,6.91,BR,Fri Jul 19 15:23:22 2024
173,machina,13.1364,10.0492,83.53,57,100,3.11,NG,Fri Jul 19 15:22:09 2024
174,east ballina,-28.8667,153.5833,55.51,54,0,15.86,AU,Fri Jul 19 15:23:22 2024
175,todos santos,23.45,-110.2167,98.31,81,0,9.4,MX,Fri Jul 19 15:23:23 2024
176,hagere maryam,5.6333,38.2333,60.01,89,98,2.13,ET,Fri Jul 19 15:23:23 2024
177,sur,22.5667,59.5289,93.33,52,100,13.09,OM,Fri Jul 19 15:23:23 2024
178,nemuro,43.3236,145.575,61.03,100,100,15.59,JP,Fri Jul 19 15:23:23 2024
179,bejaia,36.7559,5.0843,79.88,83,0,9.22,DZ,Fri Jul 19 15:23:23 2024
180,palikir - national government center,6.9248,158.1611,79.54,94,75,3.44,FM,Fri Jul 19 15:23:24 2024
181,cox's bazar,21.4532,91.9798,80.73,91,100,16.37,BD,Fri Jul 19 15:23:24 2024
182,inarajan village,13.2736,144.7484,82.54,92,98,12.84,GU,Fri Jul 19 15:23:24 2024
183,pajeczno,51.1445,18.9961,66.67,58,8,8.12,PL,Fri Jul 19 15:23:24 2024
184,jining,35.405,116.5814,74.95,99,100,6.44,CN,Fri Jul 19 15:23:24 2024
185,luanda,-8.8368,13.2343,69.28,90,7,12.28,AO,Fri Jul 19 15:23:25 2024
186,tsetserleg,47.475,101.4542,59.67,70,100,1.34,MN,Fri Jul 19 15:21:09 2024
187,carloforte,39.145,8.3058,76.69,75,5,10.47,IT,Fri Jul 19 15:23:25 2024
188,gorom-gorom,14.4439,-0.2361,96.69,39,40,9.98,BF,Fri Jul 19 15:23:25 2024
189,crane,31.3974,-102.3501,91.33,27,80,11.05,US,Fri Jul 19 15:23:25 2024
190,el burgo de osma,41.5862,-3.0652,85.6,20,4,6.04,ES,Fri Jul 19 15:23:26 2024
191,dauphin,51.1494,-100.0502,84.34,65,0,5.75,CA,Fri Jul 19 15:20:02 2024
192,acajutla,13.5928,-89.8275,84.33,77,100,8.01,SV,Fri Jul 19 15:23:26 2024
193,kukawa,12.9234,13.5606,86.07,55,10,7.94,NG,Fri Jul 19 15:23:26 2024
194,boulder city,35.9786,-114.8325,103.28,18,0,6.91,US,Fri Jul 19 15:23:26 2024
195,babor - ville,36.4899,5.5393,69.87,30,0,2.13,DZ,Fri Jul 19 15:23:26 2024
196,ciudad melchor muzquiz,27.8833,-101.5167,91.71,40,64,7.99,MX,Fri Jul 19 15:23:27 2024
197,coyhaique,-45.5752,-72.0662,41.61,91,60,7.7,CL,Fri Jul 19 15:23:27 2024
198,ketchikan,55.3422,-131.6461,63.07,88,100,14.97,US,Fri Jul 19 15:23:27 2024
199,coahuayana de hidalgo,18.7,-103.6583,92.41,50,97,6.46,MX,Fri Jul 19 15:23:27 2024
200,nizhneangarsk,55.7833,109.55,54.25,87,53,2.59,RU,Fri Jul 19 15:23:28 2024
